__BASELINE__	ok	638324851	16696	121671643	641743310	16696	115312543
-O0	ok	172332438	16888	121980882	641279871	16696	90044411
-O1	ok	549103664	16712	116975671	634334935	16696	115376240
-O3	ok	692544034	16696	108778139	783572549	16696	115648769
-Os	ok	622346472	16728	126549491	640420236	16696	114827732
-Oz	build-failed				783922591	16696	107482328
-Ofast	ok	697649051	18192	105170269	779852603	16696	118191826
-Og	ok	405912514	16888	122421223	763562323	16696	114381945
-flto	ok	210665777	16688	117913175	796073707	16696	116805882
-fno-inline	ok	723496886	16880	72297967	635418116	16696	51594531
-funroll-loops	ok	1434503694	16696	117547504	645601335	16696	115170114
-fno-omit-frame-pointer	ok	789693450	16696	114643981	640769659	16696	117221675
-g	ok	950429277	25088	114555800	762052036	16696	112754178
-g3	ok	879727978	57504	114837596	637223060	16696	115205186
-fstack-protector	ok	639945707	16752	114139684	661288478	16696	115277068
-fstack-protector-strong	ok	643986220	16752	115626396	787633174	16696	114181357
-fstack-protector-all	ok	802753459	16752	103834795	634947623	16696	110447918
-fstack-clash-protection	ok	781400528	16696	118478500	635302690	16696	112323088
-fcf-protection=full	ok	765137148	16696	113443434	639684368	16696	115127691
-fPIE -pie	ok	794826797	16896	114518947	788466888	16696	114803567
-ftrivial-auto-var-init=zero	build-failed				778154458	16696	113483749
-ftrivial-auto-var-init=pattern	build-failed				758544687	16696	88745257
-fzero-call-used-regs=used-gpr	build-failed				793126425	16696	115922196
-fzero-call-used-regs=all	build-failed				631893028	16696	114044088
-fstrict-flex-arrays=3	build-failed				784736385	16696	120795447
-D_FORTIFY_SOURCE=2	ok	776641618	16704	114583622	779130674	16696	104078093
-D_FORTIFY_SOURCE=3	ok	799187753	16704	116395271	637408101	16696	114423792
-fhardened	build-failed				673592881	16696	114166346
-fsanitize=address	ok	769439681	22208	275212964	643346946	16696	107080406
-fsanitize=undefined	ok	1767411425	22656	333606641	630281378	16696	123478048
-fsanitize=address -fsanitize=undefined	ok	1667402656	33224	432268090	784682550	16696	122691289
-fsanitize=thread -fPIE -pie	run-failed	862090961	19128		637591602	16696	116125611
-fsanitize=leak	run-failed	783056591	19288		640312965	16696	114443108
-fanalyzer	ok	2228395002	16696	130770777	781486375	16696	116151264
--coverage	link-failed	953069545			783077705	16696	110548220
-pg	ok	786571352	17056	198411789	776244108	16696	114547567
-fno-strict-aliasing	ok	638995361	16696	109202781	634232374	16696	75884363
-fno-semantic-interposition	ok	650523382	16696	114691839	633094037	16696	118138783
-fvisibility=hidden	ok	762169777	16696	114071099	785027777	16696	114972456
-fno-common	ok	778731466	16696	114759844	779729103	16696	112404286
-fexceptions	ok	777134658	16696	112399291	780702803	16696	109805974
-Wall -Wextra	ok	795642578	16696	116730851	782478888	16696	89075028
-Wall -Wextra -Wconversion -Wformat=2	ok	786699413	16696	115416041	649243246	16696	59443244
