__BASELINE__	ok	672984093	16696	120822064	825708896	16696	126450776
-O0	ok	321803026	16888	119035943	690299218	16696	124317370
-O1	ok	551480689	16712	127044240	675090556	16696	127436286
-O3	ok	882604062	16696	113437747	808509425	16696	128403945
-Os	ok	497348947	16728	121715726	795264964	16696	108231863
-Oz	build-failed				822632308	16696	121937565
-Ofast	ok	885785223	18320	110525005	672228738	16696	127314874
-Og	ok	277041778	16888	120195710	672559423	16696	117570905
-flto	ok	178690380	16688	121824449	681825053	16696	122854288
-fno-inline	ok	746437341	16880	74624188	830420105	16696	49203373
-funroll-loops	ok	1469543696	16696	114378975	675122038	16696	129046025
-fno-omit-frame-pointer	ok	817516213	16696	122013602	827305811	16696	125096083
-g	ok	957718488	23480	104095241	830096340	16696	124095100
-g3	ok	936264703	56288	106343580	679307884	16696	119292203
-fstack-protector	ok	823144343	16752	118061466	674784757	16696	109680705
-fstack-protector-strong	ok	828421115	16752	113573504	823845232	16696	126748727
-fstack-protector-all	ok	848697017	16752	119379920	811525851	16696	123999832
-fstack-clash-protection	ok	672134372	16696	122862001	806663055	16696	130679288
-fcf-protection=full	ok	675249339	16696	122201244	667288495	16696	120919160
-fPIE -pie	ok	827659007	16896	114004280	817325482	16696	123529352
-ftrivial-auto-var-init=zero	build-failed				816077310	16696	123752073
-ftrivial-auto-var-init=pattern	build-failed				681783760	16696	119846329
-fzero-call-used-regs=used-gpr	ok	677043516	16696	120976215	808050493	16696	120962563
-fzero-call-used-regs=all	ok	690623867	16696	141212833	672154958	16696	129018953
-fstrict-flex-arrays=3	build-failed				676541537	16696	105583172
-D_FORTIFY_SOURCE=2	ok	847475293	16704	120756261	805123792	16696	128806250
-D_FORTIFY_SOURCE=3	ok	829220327	16704	129184220	671733621	16696	125427953
-fhardened	build-failed				674392655	16696	127399856
-fsanitize=address	ok	960935673	22584	356899482	683970626	16696	126205599
-fsanitize=undefined	ok	1765520186	22656	203268187	830070525	16696	119189945
-fsanitize=address -fsanitize=undefined	ok	1855565539	33600	490480475	824398167	16696	97472104
-fsanitize=thread -fPIE -pie	run-failed	898082669	19296		804030443	16696	122289473
-fsanitize=leak	run-failed	676609514	19504		693061030	16696	115697731
-fanalyzer	ok	1369062434	16696	121176594	664901293	16696	122520137
--coverage	ok	994193710	75640	112965541	681011726	16696	122812338
-pg	ok	700270105	17056	128848519	828028027	16696	128336563
-fno-strict-aliasing	ok	802229396	16696	122028663	809209866	16696	130272930
-fno-semantic-interposition	ok	803496910	16696	114153698	806933248	16696	110518136
-fvisibility=hidden	ok	677419806	16696	128411348	827652659	16696	116801196
-fno-common	ok	684078571	16696	123568874	789486174	16696	124968932
-fexceptions	ok	681221963	16696	121303351	830865961	16696	120448860
-Wall -Wextra	ok	678762488	16696	46355473	680744947	16696	123575055
-Wall -Wextra -Wconversion -Wformat=2	ok	677047098	16696	128604625	793048432	16696	110680607
